Số đơn hàng,Mã sản phẩm,Tên sản phẩm,Công việc,Tên công việc,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
SO2310-0022,TPH060085G102INT.VVGR074,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI GREEN PP 40KG - CODE 074 (1+0) (In 1 mặt) (Mã: 5001104). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",15,Công đoạn cắt may tự động,BAO,CMA060085G101TT.INT,"Bao PP, trắng tẩy, K60(+1/-0.5)x85LL(+/-1), cắt răng cưa 90cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 100.63g/cái(+/-3). [Đếm tép: 100cái/tép]",CAI,KG,2020,203.27260000000001
SO2310-0022,TPH060085G102INT.GP086,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: GP - CODE 086 (1+0) (Mã: 5000642). [Tép 20 cái gấp 3 code ra ngoài.  Bó 05 tép.  Cột chữ thập, dây màu trắng (xám)]",15,Công đoạn cắt may tự động,BAO,CMA060085G101TT.INT,"Bao PP, trắng tẩy, K60(+1/-0.5)x85LL(+/-1), cắt răng cưa 90cm(+/-1), đáy 1 lần/2 đường PP900D trắng, TL: 100.63g/cái(+/-3). [Đếm tép: 100cái/tép]",CAI,KG,5050,508.18150000000003
SO2310-0022,TPH045055G070INT.BMDC005,"Túi TP-PP, tráng ngoài, K45x55LL, TL: 70g/cái, MK: BỘT MÌ ĐỊA CẦU - CODE 005 (2+2) (Mã: 5000521). [Bao túi xách: Tép 50 cái gấp đôi, code ra ngoài, bó 2 tép, cột dây chữ thập trắng]",16,Cắt - Manh,BAO,MAY-QUAITX,"Quai túi xách (bao túi 10kg); Quai cắt dài 30cm, rộng 7.5cm gấp 3 còn 2.5cm; TL: 2.25g/cái",CAI,KG,10010,22.5225
SO2310-0022,TPH060085G102INT.VVBL018,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI BLUE PP 40KG - CODE 018 (1+0) (Mã: 5001103). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",17,Công đoạn in cái (in thủ công),IN,INB060085G102INT.VVBL018,"Bao PP-In, trắng tẩy, K60(+1/-0.5)x85LL(+/-1), TL: 101.13g/cái(+/-3), MK: VI VI BLUE PP 40KG - CODE 018 (1+1) (Mã: 5001103).  [Tép 20 cái gấp 03, code ra ngoài]",CAI,KG,2000,202.26
SO2310-0022,TPH050074G074INT.BLGL079,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: BLUE GLOBE (LOCAL) - CODE 079 (2+0) (Mã: 5000544). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",17,Công đoạn in cái (in thủ công),IN,INB050074INT.BLGL079,"Bao PP-In, trắng tẩy, K50x74LL, TL: 73.78g/cái, MK: BLUE GLOBE (LOCAL) - CODE 079 (2+0) (Mã: 5000544).",CAI,KG,5000,368.9
SO2310-0022,TPH045055G070INT.BMDC005,"Túi TP-PP, tráng ngoài, K45x55LL, TL: 70g/cái, MK: BỘT MÌ ĐỊA CẦU - CODE 005 (2+2) (Mã: 5000521). [Bao túi xách: Tép 50 cái gấp đôi, code ra ngoài, bó 2 tép, cột dây chữ thập trắng]",17,Công đoạn in cái (in thủ công),IN,INB045057INT.BMDC005,"[Manh túi xách INT] Bao PP, trắng tẩy, tráng ngoài, K45x57LL, TL: 62.08g/cái, MK: BỘT MÌ ĐỊA CẦU - CODE 005 (2+2) (Mã: 5000521).",Cái,KG,5005,310.71039999999999
SO2310-0022,TPH050080G080INT.YEGL190,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: YELLOW GLOBE - CODE 190 (2+0) (Mã: 5000611). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",17,Công đoạn in cái (in thủ công),IN,INB050080TTINT.YEGL190,"Bao PP-In, trắng tẩy, K50x80LL, TL: 79.32g/cái, MK: YELLOW GLOBE - CODE 190 (2+0) (Mã KH: 5000611). [Tép 20 cái gấp 3, code ra ngoài]",CAI,KG,5000,396.6
SO2310-0022,TPH050080G080INT.YEGL191,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: YELLOW GLOBE - CODE 191 (2+0) (Mã: 5000611). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",17,Công đoạn in cái (in thủ công),IN,INB050080TTINT.YEGL191,"Bao PP-In, trắng tẩy, K50x80LL, TL: 79.32g/cái, MK: YELLOW GLOBE - CODE 191 (2+0) (Mã KH: 5000611). [Tép 20 cái gấp 3, code ra ngoài]",CAI,KG,5000,396.6
SO2310-0022,TPH060085G102INT.VVGR074,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI GREEN PP 40KG - CODE 074 (1+0) (In 1 mặt) (Mã: 5001104). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",17,Công đoạn in cái (in thủ công),IN,INB060085G102INT.VVGR074,"Bao PP-In, trắng tẩy, K60(+1/-0.5)x85LL(+/-1), TL: 101.13g/cái(+/-3), MK: VI VI GREEN PP 40KG - CODE 074 (1+0) (In 1 mặt) (Mã: 5001104). [Tép 20 cái gấp 03, code ra ngoài]",Cái,KG,2000,202.26
SO2310-0022,TPH060085G102INT.GP086,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: GP - CODE 086 (1+0) (Mã: 5000642). [Tép 20 cái gấp 3 code ra ngoài.  Bó 05 tép.  Cột chữ thập, dây màu trắng (xám)]",17,Công đoạn in cái (in thủ công),IN,INB060085TTINT.GP086,"Bao PP-In, trắng tẩy, K60x85LL, TL: 101.13g/cái, MK: GP - CODE 086 (1+0) [Mã: 5000642]. [Tép 20 cái gấp 3, code ra ngoài]",CAI,KG,5000,505.65
SO2310-0022,TPH045055G070INT.BMDC005,"Túi TP-PP, tráng ngoài, K45x55LL, TL: 70g/cái, MK: BỘT MÌ ĐỊA CẦU - CODE 005 (2+2) (Mã: 5000521). [Bao túi xách: Tép 50 cái gấp đôi, code ra ngoài, bó 2 tép, cột dây chữ thập trắng]",20,Công đoạn may giỏ xách,MAY,MAQ045055INT.BMDC005,"[May quai túi xách] Túi PP, trắng tẩy, tráng ngoài, K45x55LL, TL: 67.14g/cái, MK: BỘT MÌ ĐỊA CẦU - CODE 005 (2+2) (Mã: 5000521). [EK: Tép 50 cái gấp đôi, code ra ngoài]",CAI,KG,5000,335.7
SO2310-0022,TPH060085G102INT.VVBL018,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI BLUE PP 40KG - CODE 018 (1+0) (Mã: 5001103). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",33,Công đoạn đóng gói,TPH-1553,TPH060085G102INT.VVBL018,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI BLUE PP 40KG - CODE 018 (1+0) (Mã: 5001103). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",CAI,KG,2000,204
SO2310-0022,TPH050074G074INT.BLGL079,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: BLUE GLOBE (LOCAL) - CODE 079 (2+0) (Mã: 5000544). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",33,Công đoạn đóng gói,TPH-1553,TPH050074G074INT.BLGL079,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: BLUE GLOBE (LOCAL) - CODE 079 (2+0) (Mã: 5000544). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,5000,370
