Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
8/30/2023,SO2308-0052,HARVEST UNITES ENTERPRISE SDN. BHD,THACUHAR585100110082TRDU,"Vải cuộn PP trắng đục, khổ 58.5cm, mật độ 10x11, đầu cây dệt caro khít, ngang 2x1; TL: 82g/m [3000m/cuộn]",M,KG,60000,4920,9/29/2023,
8/31/2023,SO2308-0054,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,01JBO-TC005-01-0000,"Bao Jumbo thân tròn, màu trắng, tráng trong, có in, quai cẩu, kích thước: 90x90x120cm; TL: 2.698Kg/cái - PI-006",Cái,KG,3,8.094,9/5/2023,
8/31/2023,SO2308-0054,SAN MIGUEL YAMAMURA WOVEN PRODUCTS SDN BHD,01JBO-TC005-02-0000,"Bao Jumbo thân tròn, màu trắng, tráng trong, có in, quai cẩu, kích thước: 90x90x120cm; TL: 2.841Kg/cái - PI-007",Cái,KG,3,8.523,9/5/2023,
8/31/2023,SO2308-0053,CÔNG TY TNHH MTV BAO BÌ THIÊN ÂN,01JBO-8P001-01-0000,"Bao bát giác, dạng 8 cạnh, màu trắng, có in 2 mặt, W x L x H = 40cm x 50cm x 110cm; TL: 2.103Kg/cái.",Cái,KG,3,6.309,9/4/2023,
9/8/2023,SO2309-0021,CÔNG TY TNHH MTV BAO BÌ THIÊN ÂN,01JBO-8P001-01-0000,"Bao bát giác, dạng 8 cạnh, màu trắng, có in 2 mặt, W x L x H = 40cm x 50cm x 110cm; TL: 2.103Kg/cái.",Cái,KG,100,210.3,9/12/2023,
9/4/2023,SO2309-0002,SUJPLAS SDN.BHD. (440069-P),TPH047093G102TDSPL.CSRA1,"Bao PP trắng đục KT: 47x93LL(cm), xếp hông mỗi bên 5.5cm, gấp đáy 1 lần may 1 đường PP1200D màu trắng; TL: 102g/cái, marka: CSR A1 BAG (5+1). Ép kiện 500 cái/kiện, bắn đai 5ngang x 1 dọc, marka nhận diện bên ngoài",Cái,KG,50,5.1,9/10/2023,
9/4/2023,SO2309-0002,SUJPLAS SDN.BHD. (440069-P),TPH046095G099TDSPL.GUPRA,"Bao PP trắng đục KT: 46x95LL(cm), xếp hông mỗi bên 5.0cm, gấp đáy 1 lần may 1 đường PP1200D màu trắng; TL: 99g/cái, marka: Gula Prai (2+2). Ép kiện 500 cái/kiện, bắn đai 5ngang x 1 dọc, marka nhận diện bên ngoài",Cái,KG,50,4.95,9/10/2023,
9/4/2023,SO2309-0002,SUJPLAS SDN.BHD. (440069-P),TPH051085G128TDSPL.GUAIS,"Bao PP trắng đục KT: 51x85LL(cm), gấp đáy 1 lần may 1 đường PP1200D màu trắng; TL: 78.5g/cái, marka: Gula Aising (5+0). Lồng túi LDPE KT: 60x92cm; TL: 50g/cái. Tổng TL: 128.5g/bộ. Ép kiện 500bộ/kiện, bắn đai 5ngang x 1 dọc, marka nhận diện bên ngoài",Bộ,KG,50,6.425,9/10/2023,
9/6/2023,SO2309-0012,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G73CAMDW23.121A,"[121A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW23 - 121A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,10000,730,9/15/2023,
9/6/2023,SO2309-0012,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G73CAMDW23.121B,"[121B] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng LDPE-K48x75x19g, TL: PP-52g + Dây-2g + PE-19g = 73g/bộ, MK: DW23 - 121B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,10000,730,9/15/2023,
