Mã số,Mặt hàng,Đvt (2),SL (2),Đvt (1),SL (1),Date
0901100380000000,BẠC ĐẠN SKF 6202 - 2Z/C3,CAI,4,CAI,4,03/04/2025
0901100390000000,BẠC ĐẠN SKF 6203-2Z/C3,CAI,90,CAI,90,03/04/2025
0901100400000000,BẠC ĐẠN SKF 6204-2Z/c3,CAI,1,CAI,1,03/04/2025
0901100420000000,BẠC ĐẠN SKF 6206 - 2Z/C3,CAI,93,CAI,93,03/04/2025
0901100430000000,BẠC ĐẠN SKF 6208 - 2Z/C3,CAI,37,CAI,37,03/04/2025
0901100440000000,BẠC ĐẠN SKF 6209 - 2Z/C3.,CAI,5,CAI,5,03/04/2025
0901100450000000,BẠC ĐẠN 6210,CAI,31,CAI,31,03/04/2025
0901100460000000,BẠC ĐẠN 6211,CAI,8,CAI,8,03/04/2025
0901100470000000,Bạc đạn 6213-2Z/C3,CAI,3,CAI,3,03/04/2025
0901100500000000,BẠC ĐẠN 6304ZZ,CAI,11,CAI,11,03/04/2025
0901100510000000,Bạc đạn SKF 6305- 2Z/C3,CAI,38,CAI,38,03/04/2025
0901100520000000,Bạc đạn SKF 6306 -2Z/C3,CAI,14,CAI,14,03/04/2025
0901100530000000,BẠC ĐẠN SKF 6307-2Z/C3,CAI,16,CAI,16,03/04/2025
0901100540000000,BẠC ĐẠN SKF 6308- 2Z/C3,CAI,18,CAI,18,03/04/2025
0901100550000000,BẠC ĐẠN  SKF 6309-2Z/C3,CAI,8,CAI,8,03/04/2025
0901100560000000,BẠC ĐẠN SKF 61804,CAI,110,CAI,110,03/04/2025
0901100580000000,BẠC ĐẠN BB30,CAI,21,CAI,21,03/04/2025
0901100600000000,BẠC ĐẠN UC 216,CAI,2,CAI,2,03/04/2025
0901100610000000,BẠC ĐẠN UC 205,CAI,9,CAI,9,03/04/2025
0901100620000000,BẠC ĐẠN UC206,CAI,40,CAI,40,03/04/2025
0901100640000000,BẠC ĐẠN UC210,CAI,3,CAI,3,03/04/2025
0901100650000000,BẠC ĐẠN UCF213,CAI,3,CAI,3,03/04/2025
0901100660000000,BẠC ĐẠN UCFL205,CAI,3,CAI,3,03/04/2025
0901100670000000,BẠC ĐẠN UCFL206,CAI,2,CAI,2,03/04/2025
0901100680000000,BẠC ĐẠN UCFL207,CAI,11,CAI,11,03/04/2025
0901100690000000,BẠC ĐẠN UCP205,CAI,28,CAI,28,03/04/2025
0901100700000000,BẠC ĐẠN UCT208,CAI,6,CAI,6,03/04/2025
0901100710000000,BẠC ĐẠN 698,CAI,85,CAI,85,03/04/2025
0901100720000000,BẠC ĐẠN SKF 6207 - 2Z/C3.,CAI,17,CAI,17,03/04/2025
0901100730000000,Bạc đạn SKF 609 2Z/C3,CAI,0,CAI,0,03/04/2025
0901100740000000,Bạc đạn 31317/J2,CAI,1,CAI,1,03/04/2025
0901100750000000,Bạc đạn 30310/Q,CAI,3,CAI,3,03/04/2025
0901100760000000,Bạc đạn 30312/Q,CAI,2,CAI,2,03/04/2025
0901100770000000,Bạc đạn 7304B,CAI,2,CAI,2,03/04/2025
0901100780000000,Bạc đạn UC204,CAI,15,CAI,15,03/04/2025
0901100800000000,BẠC ĐẠN UCT206,CAI,10,CAI,10,03/04/2025
0901100810000000,BẠC ĐẠN 32012XA,CAI,8,CAI,8,03/04/2025
0901100820000000,BẠC ĐẠN SKF 6313 - 2Z/C3,CAI,4,CAI,4,03/04/2025
0901100840000000,BẠC ĐẠN 32006J,CAI,1,CAI,1,03/04/2025
0901100850000000,BẠC ĐẠN 32007J,CAI,1,CAI,1,03/04/2025
0901100860000000,BẠC ĐẠN 32010J,CAI,6,CAI,6,03/04/2025
0901100880000000,BẠC ĐẠN 1207,CAI,5,CAI,5,03/04/2025
0901100890000000,Bạc đạn 626,CAI,10,CAI,10,03/04/2025
0901100900000000,Bạc đạn 627,CAI,20,CAI,20,03/04/2025
0901100930000000,bạc đạn NU207E,CAI,5,CAI,5,03/04/2025
0901100960000000,BẠC ĐẠN SKF 6312 - 2Z/C3,CAI,3,CAI,3,03/04/2025
0901100970000000,BẠC ĐẠN 6310,CAI,14,CAI,14,03/04/2025
0901100990000000,BẠC ĐẠN UCT210,CAI,4,CAI,4,03/04/2025
0901101000000000,BẠC ĐẠN 6212,CAI,2,CAI,2,03/04/2025
0901101010000000,BẠC ĐẠN 22217 CC/W33,CAI,1,CAI,1,03/04/2025
0901101020000000,BẠC ĐẠN 22219 CC/W33.,CAI,1,CAI,1,03/04/2025
0901101030000000,BẠC ĐẠN 6007,CAI,20,CAI,20,03/04/2025
0901101070000000,BẠC ĐẠN 6217,CAI,3,CAI,3,03/04/2025
0901101080000000,BẠC ĐẠN ucf 216,CAI,4,CAI,4,03/04/2025
0901101090000000,BẠC ĐẠN 6316/c3,CAI,7,CAI,7,03/04/2025
0901101110000000,BẠC ĐẠN NU319/C3,CAI,1,CAI,1,03/04/2025
0901101120000000,BẠC ĐẠN SKF 6302 - 2Z/C3,CAI,13,CAI,13,03/04/2025
0901101130000000,BẠC ĐẠN UCF207,CAI,6,CAI,6,03/04/2025
0901101170000000,BẠC ĐẠN NJ2216E,CAI,2,CAI,2,03/04/2025
0901101180000000,BẠC ĐẠN 6215,CAI,2,CAI,2,03/04/2025
0901101190000000,BẠC ĐẠN 32209,CAI,1,CAI,1,03/04/2025
0901101210000000,BẠC ĐẠN 22211,CAI,1,CAI,1,03/04/2025
0901101230000000,BẠC ĐẠN HK 0509,CAI,50,CAI,50,03/04/2025
0901101260000000,BẠC ĐẠN UCP 218,CAI,2,CAI,2,03/04/2025
0901101270000000,Bạc đạn UCFL209,CAI,9,CAI,9,03/04/2025
0901101280000000,Bạc đạn 6300,CAI,29,CAI,29,03/04/2025
0901101290000000,Bạc đạn 32314-J2/Q,CAI,3,CAI,3,03/04/2025
0901101300000000,Bạc đạn NJ2207 ECP,CAI,1,CAI,1,03/04/2025
0901101310000000,Bạc đạn NJ2206 ECP,CAI,1,CAI,1,03/04/2025
0901101350000000,Bạc đạn 33007J,CAI,8,CAI,8,03/04/2025
0901101360000000,Vòng Bi SKF 22222 EK/C3,CAI,2,CAI,2,03/04/2025
0901101370000000,Vòng Bi SKF 22220 EK/C3,CAI,2,CAI,2,03/04/2025
0901101380000000,Bạc đạn NJ2218,CAI,1,CAI,1,03/04/2025
0901101390000000,Bạc đạn 6002,CAI,64,CAI,64,03/04/2025
0901101410000000,Bạc đạn 61901-2Z,CAI,12,CAI,12,03/04/2025
0901101430000000,Vòng bi NSK 6804-2RS1/C3.,CAI,19,CAI,19,03/04/2025
0901101440000000,Vòng bi NSK 6003-2RS1/C3.,CAI,33,CAI,33,03/04/2025
0901101470000000,BẠC ĐẠN 22208-CA,CAI,2,CAI,2,03/04/2025
0901101480000000,Bạc đạn UCF 210,CAI,6,CAI,6,03/04/2025
0901101490000000,Bạc đạn SKF 6407,CAI,9,CAI,9,03/04/2025
0901101500000000,Bạc đạn NSK 6216Z,CAI,4,CAI,4,03/04/2025
0901101510000000,Bạc đạn côn SKF 32230 -J2/Q,CAI,2,CAI,2,03/04/2025
0901101530000000,Bạc đạn UC207,CAI,23,CAI,23,03/04/2025
0901101540000000,Bạc đạn 628,CAI,30,CAI,30,03/04/2025
0901101550000000,Bạc đạn SKF 6001-2Z/ C3,CAI,260,CAI,260,03/04/2025
0901200030000000,Long đền 4x10 ly,CAI,500,CAI,500,03/04/2025
