Đơn hàng,KHSX,Khách hàng,Mã hàng,Tên hàng,Note,BOM,Loại hàng,Ngày giao,Tỉ lệ,Số lượng 1,Số lượng 2
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 2,TPH,3/20/2024,0.08,28000,2240
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 2,TPH,3/20/2024,0.08,19000,1520
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,,3/20/2024,0.08,1000,80
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,8000,640
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,13000,1040
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,1000,80
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,1000,80
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,1000,80
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,14000,1120
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),SUI-TRANG,Sủi trắng,"Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,2000,160
