Mã phi?u,Ng??i t?o,Ngày t?o,Mã yêu c?u,Mã v?t t?,Tên v?t t?,?vt (01),S? L??NG (01),?VT (02),S? L??NG (02),NGÀY C?N,Ti?n t?,??n giá,Ti?n thu?,T?ng ti?n,Mã NCC,Tên NCC
PO06/23-066,Nguy?n Th? ?ào,6/15/2023,PR23/06-040,0500100060000000,"Dây ?ai n?p x?p nh?, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,42,KG,420,,VND,215000,0,9030000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO05/24-002,Nguy?n Th? ?ào,5/3/2024,PR24/05-003,0500100060000000,"Dây ?ai n?p x?p nh?, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,5,KG,50,,VND,275000,0,1375000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO05/24-052,Nguy?n Th? ?ào,5/15/2024,PR24/05-041,0500100060000000,"Dây ?ai n?p x?p nh?, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,KG,100,,VND,275000,0,2750000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO05/24-091,Nguy?n Th? ?ào,5/29/2024,PR24/05-073,0500100060000000,"Dây ?ai n?p x?p nh?, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,40,KG,400,,VND,265000,0,10600000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO07/24-002,Nguy?n Th? ?ào,7/1/2024,PR24/07-003,0500100060000000,"Dây ?ai n?p x?p nh?, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,10,KG,100,,VND,275000,0,2750000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO04/24-036,Nguy?n Th? ?ào,4/12/2024,PR24/04-029,0500100080000000,"Dây ?ai ép ki?n PET, màu xanh lá, K15.5mm, dày 0.6mm, b? m?t d?p n?i, tension >350kgF, 20kg/cu?n.",CUON,5,KG,100,,VND,504000,0,2520000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO02/24-021,Nguy?n Th? ?ào,2/20/2024,PR24/02-023,0500100080000000,"Dây ?ai ép ki?n PET, màu xanh lá, K15.5mm, dày 0.6mm, b? m?t d?p n?i, tension >350kgF, 20kg/cu?n.",CUON,2,KG,40,,VND,500000,0,1000000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO11/23-009,Nguy?n Th? ?ào,11/2/2023,PR23/11-006,0500100080000000,"Dây ?ai ép ki?n PET, màu xanh lá, K15.5mm, dày 0.6mm, b? m?t d?p n?i, tension >350kgF, 20kg/cu?n.",CUON,3,KG,60,,VND,525000,0,1575000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO07/24-091,Nguy?n Th? ?ào,7/27/2024,PR24/07-087,0500100080000000,"Dây ?ai ép ki?n PET, màu xanh lá, K15.5mm, dày 0.6mm, b? m?t d?p n?i, tension >350kgF, 20kg/cu?n.",CUON,3,KG,60,,VND,504000,0,1512000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO05/24-081,Nguy?n Th? ?ào,5/28/2024,PR24/05-070,5200105363000000,HK6 (L),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO08/23-020,Nguy?n Th? ?ào,8/5/2023,PR23/08-007,5200108390000000,Dongwon 77-B,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,5200108420000000,Dongwon 83-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,5200108430000000,Dongwon 88-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-037,Y Nghe Knul,9/12/2023,PR23/09-025,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO11/23-012,Nguy?n Th? ?ào,11/6/2023,PR23/11-011,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-102,Nguy?n Th? ?ào,5/30/2024,PR24/05-081,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-036,Nguy?n Th? ?ào,3/12/2024,PR24/03-033,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-027,Nguy?n Th? ?ào,1/10/2024,PR24/01-029,5200108741000000,HAY KINGDOM ( UNIPACK),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO02/24-054,Nguy?n Th? ?ào,3/1/2024,PR24/02-052,5200108834000000,B?n in G?O H??NG SEN ( T? TRÚC),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO02/24-029,Nguy?n Th? ?ào,2/23/2024,PR24/02-027,5200108837000000,G?o lài s?a-t? trúc,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO08/23-066,Nguy?n Th? ?ào,8/21/2023,PR23/08-045,5200108837000000,G?o lài s?a-t? trúc,CM2,10000,CM2,10000,,VND,320,256000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-055,Y Nghe Knul,8/18/2023,PR23/08-029,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,,VND,320,256000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO10/23-039,Nguy?n Th? ?ào,10/16/2023,PR23/10-037,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,,VND,320,0,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO06/23-030,Y Nghe Knul,6/8/2023,PR23/06-019,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO12/23-013,Nguy?n Th? ?ào,12/6/2023,PR23/12-009,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO04/24-021,Nguy?n Th? ?ào,4/9/2024,PR24/04-021,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-071,Nguy?n Th? ?ào,5/24/2024,PR24/05-057,5200108860000000,TRIBAT 43 X 65 ( SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-071,Nguy?n Th? ?ào,5/24/2024,PR24/05-057,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-086,Nguy?n Th? ?ào,3/29/2024,PR24/03-083,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO12/23-048,Nguy?n Th? ?ào,12/18/2023,PR23/12-042,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO06/23-030,Y Nghe Knul,6/8/2023,PR23/06-019,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO10/23-039,Nguy?n Th? ?ào,10/16/2023,PR23/10-037,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,,VND,320,0,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-055,Y Nghe Knul,8/18/2023,PR23/08-029,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,,VND,320,256000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,520010890000000,DONGWON 93-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,520010891000000,Dongwon 94-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,520010892000000,dongwon 95-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,520010893000000,Dongwon 96-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,520010898000000,Dongwon 97-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/23-037,Y Nghe Knul,8/11/2023,PR23/08-019,520010899000000,Dongwon 98-A,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
