Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
45107,SOI8,Ngày,,,SO2303-0006,MP2303-0073,LSX05/23-003,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,755.38,0,30,-755.38,-30,,,Không đạt
45107,SOI8,Ngày,,,SO2303-0006,MP2303-0073,LSX05/23-003,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,777,0,0,-777,0,,,Không đạt
45106,SOI8,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",3850,100.1,3391,0,9,459,91.1,0.88077922077922077,0.089910000000000004,Không đạt
45155,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,657.62,0,0,-657.62,0,,,Không đạt
45155,SOI8,Đêm,,,SO2308-0013,MP23/08-028,LSX08/23-027,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",1750,45.5,1427.78,0,30,322.22,15.5,0.81587428571428566,0.65934000000000004,Không đạt
45139,SOI8,Ngày,,,SO2307-0072,MP23/07-073,LSX07/23-073,SOI-DTD-03,"Sợi PP, trắng đục, 850D, bản chỉ 2.60mm.",0,0,2758.1,0,10,-2758.1,-10,,,Không đạt
45152,SOI8,Ngày,,,SO2307-0072,MP23/07-073,LSX07/23-073,SOI-DTD-03,"Sợi PP, trắng đục, 850D, bản chỉ 2.60mm.",0,0,191.4,0,0,-191.4,0,,,Không đạt
45152,SOI8,Ngày,,,SO2307-0072,MP23/07-073,LSX08/23-030,SOI-DTD-03,"Sợi PP, trắng đục, 850D, bản chỉ 2.60mm.",0,0,2002.6,0,0,-2002.6,0,,,Không đạt
45138,SOI8,Đêm,,,SO2307-0072,MP23/07-073,LSX07/23-073,SOI-DTD-03,"Sợi PP, trắng đục, 850D, bản chỉ 2.60mm.",0,0,3841,0,30,-3841,-30,,,Không đạt
45097,SOI2,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,1019.7,0,6,-1019.7,-6,,,Không đạt
45097,SOI2,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,1895.1,0,27,-1895.1,-27,,,Không đạt
45107,SOI1,Ngày,,,SO2303-0006,MP2304-0011,LSX05/23-005,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,1085.84,0,40,-1085.84,-40,,,Không đạt
45089,SOI1,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,2121.5,0,13,-2121.5,-13,,,Không đạt
45089,SOI1,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,475.06,0,0,-475.06,0,,,Không đạt
45089,SOI1,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,1499.3,0,4,-1499.3,-4,,,Không đạt
45098,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,782.44,0,5,-782.44,-5,,,Không đạt
45155,SOI3,Ngày,,,SO2307-0065,MP23/07-070,LSX07/23-074,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,258.3,0,40,-258.3,-40,,,Không đạt
45155,SOI3,Đêm,,,SO2307-0065,MP23/07-070,LSX07/23-074,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,867.405,0,0,-867.405,0,,,Không đạt
45155,SOI3,Đêm,,,SO2308-0013,MP23/08-028,LSX08/23-027,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",2464,64.063999999999993,352.726,0,0,2111.2739999999999,64.063999999999993,0.14315178571428572,0,Không đạt
45155,SOI3,Đêm,,,SO2308-0013,MP23/08-028,LSX08/23-027,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",2464,64.063999999999993,850.46,0,4,1613.54,60.064,0.34515422077922076,0.062436999999999999,Không đạt
45185,SOI6,Đêm,,,SO2308-0013,MP23/08-028,LSX08/23-027,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,111.52,0,0,-111.52,0,,,Không đạt
45185,SOI6,Đêm,,,SO2309-0033,MP23/09-034,LSX09/23-022,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,671.72699999999998,0,6,-671.72699999999998,-6,,,Không đạt
45185,SOI6,Đêm,,,SO2309-0033,MP23/09-034,LSX09/23-022,SOI-DTT-01,"Sợi PP, trắng trong, 830D, bản sợi 2.60mm.",0,0,335.25,0,0,-335.25,0,,,Không đạt
45089,SOI8,Ngày,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-01,"Sợi PP, màu vàng (EMH 22268) , 2.55mm, 1010D.",0,0,849,0,0,-849,0,,,Không đạt
45089,SOI8,Ngày,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-01,"Sợi PP, màu vàng (EMH 22268) , 2.55mm, 1010D.",0,0,2201.5,0,50,-2201.5,-50,,,Không đạt
45089,SOI8,Ngày,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-01,"Sợi PP, màu vàng (EMH 22268) , 2.55mm, 1010D.",0,0,0,676.2,0,-676.2,0,,,Không đạt
45089,SOI8,Đêm,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-01,"Sợi PP, màu vàng (EMH 22268) , 2.55mm, 1010D.",0,0,1098,0,0,-1098,0,,,Không đạt
45089,SOI8,Đêm,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-01,"Sợi PP, màu vàng (EMH 22268) , 2.55mm, 1010D.",0,0,277.7,0,0,-277.7,0,,,Không đạt
45107,SOI7,Ngày,,,SO2303-0019,MP2304-0008,LSX05/23-019,SOI-DVA-01,"Sợi PP, màu vàng (EMH 22268) , 2.55mm, 1010D.",0,0,850,0,0,-850,0,,,Không đạt
