Mã số,Mặt hàng,Đvt (2),Đầu kỳ (2),Giá trị đầu kỳ,Nhập (2),Giá trị nhập,Xuất (2),Giá trị xuất,Cuối kỳ (2),Giá trị cuối kỳ,Đvt (1),Đầu kỳ (1),Nhập (1),Xuất (1),Cuối kỳ (1)
5300100260000000,Bao lì xì .,Cái,452,638050,0,0,0,0,452,638050,Cái,452,0,0,452
5300100320000000,Bìa Còng 7 cm,Cái,7,223000,0,0,0,0,7,223000,Cái,7,0,0,7
5300100340000000,Bìa Nút A4/F4 My Clear (Bìa Sơ Mi),Cái,259,785527,0,0,0,0,259,785527,Cái,259,0,0,259
5300100350000000,Bút Lông Bảng xanh,Cây,24,180346,0,0,0,0,24,180346,Cây,24,0,0,24
5300100400000000,Bút Gel B01,Cây,1,5700,0,0,0,0,1,5700,Cây,1,0,0,1
5300100470000000,Giấy A4 80 Hồng,GRAM,17,1277569,0,0,0,0,17,1277569,GRAM,17,0,0,17
5300100490000000,Giấy A4 Màu Vàng 70,GRAM,11,815471,0,0,0,0,11,815471,GRAM,11,0,0,11
5300100500000000,Giấy A4 Màu xanh 70,GRAM,15,1114716,0,0,0,0,15,1114716,GRAM,15,0,0,15
5300100520000000,Giấy Giới Thiệu,QUYEN,1,0,0,0,0,0,1,0,QUYEN,1,0,0,1
5300100570000000,Kẹp Bướm 32 mm,Hộp,13,156000,0,0,0,0,13,156000,Hộp,13,0,0,13
5300100600000000,Lưỡi dao nhỏ,Hộp,1,180000,0,0,0,0,1,180000,Hộp,1,0,0,1
5300100640000000,Tập SV 200 trang,QUYEN,12,180000,0,0,0,0,12,180000,QUYEN,12,0,0,12
5300100700000000,Phiếu Xuất Kho 3 Liên,QUYEN,5,0,0,0,0,0,5,0,QUYEN,5,0,0,5
5300100720000000,Phiếu Nhập Kho 3 Liên,QUYEN,3,69000,0,0,0,0,3,69000,QUYEN,3,0,0,3
5300100730000000,Hồ Dán,LO,7,0,0,0,0,0,7,0,LO,7,0,0,7
5300100780000000,Bút Chì,Cây,12,34667,0,0,0,0,12,34667,Cây,12,0,0,12
5300100850000000,Kẹp Bướm 41 mm,Hộp,1,14286,0,0,0,0,1,14286,Hộp,1,0,0,1
5300100880000000,Mực Dấu Xanh,Hộp,4,130000,0,0,0,0,4,130000,Hộp,4,0,0,4
5300100890000000,Mực Dấu Đỏ,Hộp,3,96000,0,0,0,0,3,96000,Hộp,3,0,0,3
5300100900000000,Bao Thư 12x18,Cái,105,142000,0,0,0,0,105,142000,Cái,105,0,0,105
5300100910000000,Bìa Kiếng A4,Cái,4,200000,0,0,0,0,4,200000,Cái,4,0,0,4
5300100940000000,Giấy A3,GRAM,2,210833,0,0,0,0,2,210833,GRAM,2,0,0,2
5300100960000000,Sổ Ca Rô 25x33 Dày,QUYEN,11,456928,0,0,0,0,11,456928,QUYEN,11,0,0,11
5300101100000000,Bấm 2 lỗ 837,Cái,1,40000,0,0,0,0,1,40000,Cái,1,0,0,1
5300101130000000,Bút lông bảng đỏ,Cây,16,120000,0,0,0,0,16,120000,Cây,16,0,0,16
5300101220000000,Giấy nêm Phong,XẤP,2,0,0,0,0,0,2,0,XẤP,2,0,0,2
5300101350000000,Giấy NoTe Mũi Tên,XẤP,8,80000,0,0,0,0,8,80000,XẤP,8,0,0,8
5300101390000000,Nhựa ép plastic A4.,XẤP,4,360000,0,0,0,0,4,360000,XẤP,4,0,0,4
5300101450000000,Ghi Chú,XẤP,2,11625,0,0,0,0,2,11625,XẤP,2,0,0,2
5300101460000000,Kim bấm Trio23//17,Cái,1,20000,0,0,0,0,1,20000,Cái,1,0,0,1
5300101730000000,Túi Y Tế Loại C,Cái,4,520000,0,0,0,0,4,520000,Cái,4,0,0,4
5300101830000000,Bút lông đâu Highper-B màu đỏ,Cây,18,216250,0,0,0,0,18,216250,Cây,18,0,0,18
53AOCANTINL00082N,Áo nhân viên nhà ăn-size L,Cái,19,1828750,0,0,0,0,19,1828750,Cái,19,0,0,19
53AOCANTINM00080N,Áo nhân viên nhà ăn-size M,Cái,30,2900000,0,0,0,0,30,2900000,Cái,30,0,0,30
53AOCNDOZXL00062N,Áo Thun CN (đỏ viền đen)-size XL,Cái,59,4720000,0,0,0,0,59,4720000,Cái,59,0,0,59
53AOCNDXXXL00064N,Áo Thun CN (đỏ viền đen)-size XXXL,Cái,3,240000,0,0,0,0,3,240000,Cái,3,0,0,3
53AOKCSNAXL00006N,Áo KCS Nam- size XL,Cái,10,1150000,0,0,0,0,10,1150000,Cái,10,0,0,10
53AOKCSNUXL00013N,Áo KCS Nữ- size XL,Cái,11,1155000,0,0,0,0,11,1155000,Cái,11,0,0,11
53AOKCSNUZL00012N,Áo KCS Nữ- size L,Cái,8,840000,0,0,0,0,8,840000,Cái,8,0,0,8
53AOKCSNUZM00011N,Áo KCS Nữ- size M,Cái,11,1155000,0,0,0,0,11,1155000,Cái,11,0,0,11
53AOKCSNXXL00007N,Áo KCS Nam- size XXL,CAI,10,1150000,0,0,0,0,10,1150000,CAI,10,0,0,10
53AOKTHDTZL00068N,Áo Xanh đen Kỹ thuật tay dài-size L,Cái,2,200000,0,0,0,0,2,200000,Cái,2,0,0,2
53AOKTHNTZL00075N,Áo Xanh đen Kỹ thuật tay ngắn-size L,Cái,5,450000,0,0,0,0,5,450000,Cái,5,0,0,5
53AOKTHNXXL00077N,Áo Xanh đen Kỹ thuật tay ngắn-size XXL,Cái,6,540000,0,0,0,0,6,540000,Cái,6,0,0,6
53AOVBDOXXL00021N,Áo Nam (VP) màu đỏ-size XXL,Cái,10,900000,0,0,0,0,10,900000,Cái,10,0,0,10
53AOVBDXXXL00022N,Áo Nam (VP) màu đỏ-size XXXL,Cái,1,90000,0,0,0,0,1,90000,Cái,1,0,0,1
53AOVPBDOXL00020N,Áo Nam (VP) màu đỏ-size XL,Cái,49,4674865,0,0,0,0,49,4674865,Cái,49,0,0,49
53AOVPBDOZL00019N,Áo Nam (VP) màu đỏ-size L,Cái,16,1532754,0,0,0,0,16,1532754,Cái,16,0,0,16
53AOVPBDOZM00018N,Áo Nam (VP) màu đỏ-size M,Cái,11,1055671,0,0,0,0,11,1055671,Cái,11,0,0,11
53AOVPBDOZS00017N,Áo Nam (VP) màu đỏ-size S,Cái,123,11832791,0,0,0,0,123,11832791,Cái,123,0,0,123
53AOVPBVANL00026N,Áo Nam (VP) màu Vàng-size L,Cái,25,2397059,0,0,0,0,25,2397059,Cái,25,0,0,25
53AOVPBVANM00025N,Áo Nam (VP) màu Vàng-size M,Cái,3,289672,0,0,0,0,3,289672,Cái,3,0,0,3
53AOVPBVANS00024N,Áo Nam (VP) màu Vàng-size S,Cái,4,360000,0,0,0,0,4,360000,Cái,4,0,0,4
53AOVPBVAXL00027N,Áo Nam (VP) màu Vàng-size XL,Cái,48,4548572,0,0,0,0,48,4548572,Cái,48,0,0,48
53AOVPBVXXL00028N,Áo Nam (VP) màu Vàng-size XXL,Cái,21,1890000,0,0,0,0,21,1890000,Cái,21,0,0,21
53AOVPBXANL00033N,Áo Nam (VP) màu Xanh-size L,Cái,27,2593637,0,0,0,0,27,2593637,Cái,27,0,0,27
53AOVPBXANM00032N,Áo Nam (VP) màu Xanh-size M,Cái,19,1818571,0,0,0,0,19,1818571,Cái,19,0,0,19
53AOVPBXANS00031N,Áo Nam (VP) màu Xanh-size S,Cái,71,6768667,0,0,0,0,71,6768667,Cái,71,0,0,71
53AOVPBXAXL00034N,Áo Nam (VP) màu Xanh-size XL,Cái,53,5117541,0,0,0,0,53,5117541,Cái,53,0,0,53
53AOVPBXXXL00035N,Áo Nam (VP) màu Xanh-size XXL,Cái,20,1800000,0,0,0,0,20,1800000,Cái,20,0,0,20
53AOVPGDOXL00041N,Áo Nữ (VP) màu đỏ-size XL,Cái,14,1260000,0,0,0,0,14,1260000,Cái,14,0,0,14
53AOVPGDOZL00040N,Áo Nữ (VP) màu đỏ-size L,Cái,51,4967778,0,0,0,0,51,4967778,Cái,51,0,0,51
53AOVPGDOZM00039N,Áo Nữ (VP) màu đỏ-size M,Cái,35,3400000,0,0,0,0,35,3400000,Cái,35,0,0,35
53AOVPGDOZS00038N,Áo Nữ (VP) màu đỏ-size S,Cái,60,5763636,0,0,0,0,60,5763636,Cái,60,0,0,60
53AOVPGDXXL00042N,Áo Nữ  (VP) màu đỏ-size XXL,Cái,13,1170000,0,0,0,0,13,1170000,Cái,13,0,0,13
53AOVPGVANL00047N,Áo Nữ (VP) màu Vàng-size L,Cái,53,5106508,0,0,0,0,53,5106508,Cái,53,0,0,53
53AOVPGVANM00046N,Áo Nữ (VP) màu Vàng-size M,Cái,36,3497143,0,0,0,0,36,3497143,Cái,36,0,0,36
53AOVPGVANS00045N,Áo Nữ(VP) màu Vàng-size S,Cái,57,5503770,0,0,0,0,57,5503770,Cái,57,0,0,57
53AOVPGVAXL00048N,Áo Nữ (VP) màu Vàng-size XL,Cái,17,1530000,0,0,0,0,17,1530000,Cái,17,0,0,17
53AOVPGVXXL00049N,Áo Nữ (VP) màu Vàng-size XXL,Cái,10,900000,0,0,0,0,10,900000,Cái,10,0,0,10
53AOVPGXANL00054N,Áo Nữ (VP) màu Xanh-size L,Cái,58,5620000,0,0,0,0,58,5620000,Cái,58,0,0,58
53AOVPGXANM00053N,Áo Nữ (VP) màu Xanh-size M,Cái,37,3599091,0,0,0,0,37,3599091,Cái,37,0,0,37
53AOVPGXANS00052N,Áo Nữ (VP) màu Xanh-size S,Cái,60,5763636,0,0,0,0,60,5763636,Cái,60,0,0,60
53AOVPGXAXL00055N,Áo Nữ (VP) màu Xanh-size XL,Cái,20,1800000,0,0,0,0,20,1800000,Cái,20,0,0,20
53AOVPGXXXL00056N,Áo Nữ (VP) màu Xanh-size XXL,Cái,11,990000,0,0,0,0,11,990000,Cái,11,0,0,11
53DPBAOVEZZ00085N,Bộ quần áo Bảo vệ -Size 6 (M),Bộ,5,1400000,0,0,0,0,5,1400000,Bộ,5,0,0,5
53DPBAOVEZZ00086N,Bộ quần áo Bảo vệ -Size 7(L),Bộ,1,280000,0,0,0,0,1,280000,Bộ,1,0,0,1
53DPBAOVEZZ00087N,Bộ quần áo Bảo vệ -Size 8 (XL),Bộ,10,2800000,0,0,0,0,10,2800000,Bộ,10,0,0,10
53NOBHTXCZZ00493,Nón bảo hộ cho tài xế,Cái,1,370000,0,0,0,0,1,370000,Cái,1,0,0,1
53PKBAOVEZZ00089,Cầu vai +Nón (nhân viên Bảo vệ),Cái,13,260000,0,0,0,0,13,260000,Cái,13,0,0,13
53PKBAOVEZZ00090,ngôi sao nón bảo vệ,Cái,18,900000,0,0,0,0,18,900000,Cái,18,0,0,18
53PKBAOVEZZ00091,cà vạt cho bảo vệ,Cái,7,140000,0,0,0,0,7,140000,Cái,7,0,0,7
BAQ012,Bao chân cho khách tham quan,Đôi,200,460000,0,0,0,0,200,460000,Đôi,200,0,0,200
VPP005,Bút lông bảng đen,Cây,7,52500,0,0,0,0,7,52500,Cây,7,0,0,7
VPP006,Bìa Phân Trang Màu,XAP,2,16000,0,0,0,0,2,16000,XAP,2,0,0,2
5300100390000000,Bút Dạ Quang,Cây,10,55000,0,0,0,0,10,55000,Cây,10,0,0,10
5300101370000000,Giấy In Ành 01 mặt,XẤP,1,55000,0,0,0,0,1,55000,XẤP,1,0,0,1
