S? ch?ng t?;NgÖy t?o;Ng??i t?o;Lo?i k? ho?ch;Ghi ch£ 1;M? v?t t?;Tàn v?t t?;?vt 1;S? l??ng (1);HSQ?;?vt 2;S? l??ng (2);Ghi ch£ 2;M?c ?°ch s? d?ng;NgÖy s? d?ng
EP2308-0031;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON-PO.8  (KH?C THU?N 4MM ).;520010899000000;Dongwon 98-A;CM2;10000;1;CM2;10000;;M†y in;12/08/2023
EP2308-0032;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C DONGWON-PO.8  (KH?C NGH?CH 5MM );520010900000000;Dongwon 99-A1;CM2;10000;1;CM2;10000;;M†y in;14/08/2023
EP2308-0032;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C DONGWON-PO.8  (KH?C NGH?CH 5MM );520010901000000;Dongwon 100-A;CM2;10000;1;CM2;10000;;M†y in;14/08/2023
EP2308-0031;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON-PO.8  (KH?C THU?N 4MM ).;520010902000000;Dongwon 101-A;CM2;10000;1;CM2;10000;;M†y in;12/08/2023
EP2308-0031;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON-PO.8  (KH?C THU?N 4MM ).;520010903000000;Dongwon 102-A;CM2;10000;1;CM2;10000;;M†y in;12/08/2023
EP2308-0073;22/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C THU?N 4MM - ??N H?NG DONGWON PRESTASI (SO2306-0006)-PO9;520010903100000;dongwon 103-A;CM2;10000;1;CM2;10000;HÖng g?p;M†y in;24/08/2023
EP2308-0055;16/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C 66 PASIR + PO9  (KH?C THU?N 4MM )-SO2308-0023;520010903300000;Dongwon 105-A;CM2;10000;1;CM2;10000;;M†y in;19/08/2023
EP2309-0052;13/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON PO10-KH?C NGH?CH 5MM;520010903400000;Dongwon 106-A;CM2;10000;1;CM2;10000;;M?Y IN;16/09/2023
EP2309-0032;09/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C B?N IN DONGWON -PO10 - KH?C NGH?CH 5MM;520010903500000;Dongwon 107-A;CM2;10000;1;CM2;10000;;;13/09/2023
EP2309-0052;13/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON PO10-KH?C NGH?CH 5MM;520010903800000;Dongwon 108-A;CM2;10000;1;CM2;10000;;M?Y IN;16/09/2023
EP2309-0052;13/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON PO10-KH?C NGH?CH 5MM;520010904000000;Dongwon 110-A;CM2;10000;1;CM2;10000;;M?Y IN;16/09/2023
EP2309-0052;13/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON PO10-KH?C NGH?CH 5MM;520010904100000;Dongwon 111-A;CM2;10000;1;CM2;10000;;M?Y IN;16/09/2023
EP2309-0032;09/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C B?N IN DONGWON -PO10 - KH?C NGH?CH 5MM;520010904200000;Dongwon 112-A;CM2;10000;1;CM2;10000;;;13/09/2023
EP2309-0032;09/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C B?N IN DONGWON -PO10 - KH?C NGH?CH 5MM;520010904300000;Dongwon 113-A;CM2;10000;1;CM2;10000;;;13/09/2023
EP2309-0032;09/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C B?N IN DONGWON -PO10 - KH?C NGH?CH 5MM;520010904400000;Dongwon 114-A;CM2;10000;1;CM2;10000;;;13/09/2023
EP2309-0032;09/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C B?N IN DONGWON -PO10 - KH?C NGH?CH 5MM;520010904400000;Dongwon 114-A;CM2;10000;1;CM2;10000;;;13/09/2023
EP2309-0052;13/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON PO10-KH?C NGH?CH 5MM;520010904500000;Dongwon 115-A;CM2;10000;1;CM2;10000;;M?Y IN;16/09/2023
EP2309-0052;13/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON PO10-KH?C NGH?CH 5MM;520010904600000;Dongwon 116-A;CM2;10000;1;CM2;10000;;M?Y IN;16/09/2023
EP2309-0052;13/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON PO10-KH?C NGH?CH 5MM;520010904700000;Dongwon 117-A;CM2;10000;1;CM2;10000;;M?Y IN;16/09/2023
EP2309-0052;13/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON PO10-KH?C NGH?CH 5MM;520010904800000;Dongwon 118-A;CM2;10000;1;CM2;10000;;M?Y IN;16/09/2023
