S? ch?ng t?;NgÖy t?o;Ng??i t?o;Lo?i k? ho?ch;Ghi ch£ 1;M? v?t t?;Tàn v?t t?;?vt 1;S? l??ng (1);HSQ?;?vt 2;S? l??ng (2);Ghi ch£ 2;M?c ?°ch s? d?ng;NgÖy s? d?ng
EP2309-0032;09/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C B?N IN DONGWON -PO10 - KH?C NGH?CH 5MM;520010904900000;Dongwon 119-A;CM2;10000;1;CM2;10000;;;13/09/2023
EP2309-0081;20/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON PO11-KH?C NGH?CH 5MM SO2309-0012;5200109060000000;Dongwon 122-A;CM2;10000;1;CM2;10000;;MAY IN;23/09/2023
EP2403-0078;22/03/2024;HÖ M?nh Hóng;Theo b? ph?n;V?t t? thay th? cho t? ?i?n m†y d?t RX6.1 vÖ s?a ch?a bo ngu?n m†y d?t.;5200110840000000;Kçm b?m cos m?ng RJ11/12 vÖ RJ45;CAI;40;1;CAI;40;;S?a ch?a;25/03/2024
EP2407-0011;04/07/2024;??ng Th? M? H?nh;Theo b? ph?n;?? xu?t mua ??t +tro tr?ng rau;5300101541000000;Tro tr?u;BAO;10;1;BAO;10;;;10/07/2024
EP2403-0075;21/03/2024;??ng Th? M? H?nh;Theo b? ph?n;?? xu?t mua s? d?a b¢n cÉy ki?ng;5300101542000000;S? d?a;BAO;150;1;BAO;150;;B¢n cÉy ki?ng;22/03/2024
EP2405-0054;17/05/2024;HoÖng V?n Khiàm;Theo b? ph?n;V?t T? Tr?ng CÉy T? X3-X7;5300101542000000;S? d?a;BAO;100;1;BAO;100;;;22/05/2024
EP2405-0006;03/05/2024;HoÖng V?n Khiàm;Theo b? ph?n;V?t T? Tr?ng cÉy xanh (Anh V?);5300101542000000;S? d?a;BAO;20;1;BAO;20;;;03/05/2024
EP2310-0002;02/10/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su (SÖi Gïn Xanh);5300101790000000;LOGO TRIBAT S?I G?N XANH;CM2;10000;1;CM2;10000;;In;04/10/2023
EP2305-0016;06/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;??T KH?C SAI GON XANH-LOGO (KH?C THU?N 4MM );5300101790000000;LOGO TRIBAT S?I G?N XANH;CM2;10000;1;CM2;10000;;;
EP2306-0012;03/06/2023;Nguy?n V?n Long;Theo b? ph?n;LOGO-SAIGON XANH (KH?C THU?N 4MM )-SO2305-0034;5300101790000000;LOGO TRIBAT S?I G?N XANH;CM2;10000;1;CM2;10000;;;06/06/2023
EP2304-0044;13/04/2023;;Theo b? ph?n;KH?C LOGO S?I G?N XANH (KH?C THU?N 4MM );5300101790000000;LOGO TRIBAT S?I G?N XANH;CM2;10;1;CM2;10;;;15/04/2023
EP2407-0049;15/07/2024;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t ph?c v? cho SX Tu?n 4 th†ng 06.2024 vÖ Th†ng 07/2024;0700100030000000;nh?t 10;LIT;4000;1;LIT;4000;;;20/07/2024
EP2306-0038;12/06/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh? 10+ d?u do (th†ng 06/2023);0700100030000000;nh?t 10;LIT;4000;1;LIT;4000;;;16/06/2023
EP2304-0001;03/04/2023;;Theo b? ph?n;Mua nh?t s? dung trong th†ng 04-2023;0700100030000000;nh?t 10;LIT;4;1;LIT;4;;;06/04/2023
EP2310-0036;09/10/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t ph?c v? cho SX;0700100030000000;nh?t 10;LIT;1400;1;LIT;1400;;;12/10/2023
EP2309-0078;20/09/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t s? d?ng cho SX;0700100030000000;nh?t 10;LIT;2000;1;LIT;2000;;;25/09/2023
EP2308-0070;21/08/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua d?u + nh?t s? d?ng cho xe nÉng vÖ s?n xu?t;0700100030000000;nh?t 10;LIT;2000;1;LIT;2000;;;25/08/2023
EP2309-0001;01/09/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t s? d?ng trong th†ng 09/2023;0700100030000000;nh?t 10;LIT;400;1;LIT;400;;;05/09/2023
EP2405-0032;10/05/2024;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t 10 s? d?ng cho th†ng 05 + S?n v? layout kho;0700100030000000;nh?t 10;LIT;1000;1;LIT;1000;;;15/05/2024
EP2405-0062;21/05/2024;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t 10 s? d?ng cho th†ng 06/2024;0700100030000000;nh?t 10;LIT;4000;1;LIT;4000;;;25/05/2024
EP2404-0011;03/04/2024;Nguy?n Th? H??ng;Theo b? ph?n;Nh? 10 s? d?ng cho th†ng 04/2024;0700100030000000;nh?t 10;LIT;4000;1;LIT;4000;;;10/04/2024
EP2403-0014;05/03/2024;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t 10 (s? d?ng cho Th†ng 03 ) vÖ bao tay len ho s?n xu?t;0700100030000000;nh?t 10;LIT;4000;1;LIT;4000;;;10/03/2024
EP2402-0002;01/02/2024;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t s? d?ng cho th†ng 2/2024;0700100030000000;nh?t 10;LIT;2000;1;LIT;2000;;;03/02/2024
EP2312-0057;18/12/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua d?u do + nh?t 10;0700100030000000;nh?t 10;LIT;2000;1;LIT;2000;;;20/12/2023
EP2401-0002;02/01/2024;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t cho SX;0700100030000000;nh?t 10;LIT;2000;1;LIT;2000;;;10/01/2024
EP2401-0060;18/01/2024;Nguy?n Th? H??ng;Theo b? ph?n;Mua keo d†n n?n vÖ nh?t 10;0700100030000000;nh?t 10;LIT;2000;1;LIT;2000;;;25/01/2024
EP2311-0093;28/11/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t cho SX s? d?ng T12 vÖ l??i c?t ?ng gi?y;0700100030000000;nh?t 10;LIT;2000;1;LIT;2000;;;03/12/2023
EP2311-0009;06/11/2023;Nguy?n Th? H??ng;Theo b? ph?n;MUA NH?T S? D?NG CHO T11/2023;0700100030000000;nh?t 10;LIT;2000;1;LIT;2000;;;10/11/2023
EP2401-0025;09/01/2024;HoÖng V?n Khiàm;Theo b? ph?n;V?t T? s?a ch?a NhÖ V? sinh X1 ( A H?i );0700100070000000;X?NG A92;LIT;10;1;LIT;10;;;10/01/2024
EP2401-0127;31/01/2024;HoÖng V?n Khiàm;Theo b? ph?n;MUA V?T T? L?M NH? R?C TH?I NGUY H?I V? KHU?N VI?N , M?I CHE X7;0700100070000000;X?NG A92;LIT;8;1;LIT;8;;;31/01/2024
EP2403-0067;21/03/2024;HoÖng V?n Khiàm;Theo b? ph?n;V?t t? LÖm nhÖ ch?a R†c Th?i Nguy H?i ( A H?i);0700100070000000;X?NG A92;LIT;5;1;LIT;5;;;25/03/2024
EP2405-0004;02/05/2024;HoÖng V?n Khiàm;Theo b? ph?n;V?t T? B? sung Thi?u ( lÖm cìng viàn vÖ vpx8) A V?;0700100070000000;X?NG A92;LIT;6;1;LIT;6;;;03/05/2024
EP2312-0051;14/12/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? d?ng lÖm nhÖ kho khu v?c ?, vÖ v?t t? s?a ch?a thi?t b? v?n phïng.;0700100080000000;X?ng th?m cìng nghi?p.;LIT;10;1;LIT;10;;L?p m?i,;17/12/2023
EP2311-0092;28/11/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?n dÖn hoa cìng viàn v?n phïng m?i.;0700100080000000;X?ng th?m cìng nghi?p.;LIT;5;1;LIT;5;;L?p m?i.;01/12/2023
EP2311-0074;24/11/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? lÖm dÖn hoa cho m†y cho VP m?i.;0700100080000000;X?ng th?m cìng nghi?p.;LIT;10;1;LIT;10;;L?p m?i.;27/11/2023
EP2403-0046;14/03/2024;Nguy?n D?ng Trung;Theo b? ph?n;"Mua theo ?? xu?t (C¢ file ?°nh käm)
Xe 5 t?n 51C-67266";0700100171000000;Nh?t castrol 20W50.;LIT;36;1;LIT;36;CASTROL;;18/03/2024
EP2309-0018;06/09/2023;Tr?n Th? Ph??ng;Theo b? ph?n;?? xu?t d?u , nh?t, v? xe  cho 2 xe t?i  51C 67266 & 54Y8359;0700100171000000;Nh?t castrol 20W50.;LIT;18;1;LIT;18;;;11/09/2023
EP2306-0025;07/06/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua nh?t thay xe 9 ch?;0700100171000000;Nh?t castrol 20W50.;LIT;7;1;LIT;7;;;10/06/2023
EP2407-0042;12/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;B?o trç b?o d??ng xe t?i;0700100171000000;Nh?t castrol 20W50.;LIT;72;1;LIT;72;;;13/07/2024
EP2304-0033;10/04/2023;;Theo b? ph?n;V?t t? thay th? b?o trç m†y nÇn kh° Fusheng ??nh k?;0700100180000000;D?u FUSHENG thóng 18 l°t;THUNG;3;1;THUNG;3;;;15/04/2023
EP2309-0064;18/09/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? b?o trç m†y nÇn kh° SA15A vÖ SA37A.;0700100180000000;D?u FUSHENG thóng 18 l°t;THUNG;3;1;THUNG;3;;B?o trç thi?t b? ph? tr?.;20/09/2023
EP2403-0013;04/03/2024;HÖ M?nh Hóng;Theo b? ph?n;V?t t? b?o trç thay th? cho m†y nÇn kh° SA37A.;0700100180000000;D?u FUSHENG thóng 18 l°t;THUNG;2;1;THUNG;2;;B?o trç thay th?;06/03/2024
EP2403-0085;25/03/2024;HÖ M?nh Hóng;Theo b? ph?n;V?t t? b?o trç thay th? cho m†y nÇn kh° SA37A vÖ m†y nÇn kh° Kingpower.;0700100180000000;D?u FUSHENG thóng 18 l°t;THUNG;2;1;THUNG;2;;B?o trç thay th? ??nh k?.;29/03/2024
EP2405-0061;21/05/2024;HÖ M?nh Hóng;Theo b? ph?n;V?t t? b?o trç m†y nÇn kh° SA15A.;0700100180000000;D?u FUSHENG thóng 18 l°t;THUNG;2;1;THUNG;2;;B?o trç.;24/05/2024
EP2403-0089;26/03/2024;Nguy?n Th? H??ng;Theo b? ph?n;Mua axit lo?ng chÉm bçnh xe nÉng;0700100240000000;AXIT LO?NG CH?M B?NH;LIT;210;1;LIT;210;;;30/03/2024
EP2311-0069;23/11/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua axit lo?ng chÉm bçnh xe nÉng;0700100240000000;AXIT LO?NG CH?M B?NH;LIT;210;1;LIT;210;;;27/11/2023
EP2310-0016;04/10/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua Axit lo?ng chÉm bçnh xe n?ng;0700100240000000;AXIT LO?NG CH?M B?NH;LIT;210;1;LIT;210;;;09/10/2023
EP2308-0057;16/08/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua Axit lo?ng chÉm bçnh xe n?ng;0700100240000000;AXIT LO?NG CH?M B?NH;LIT;200;1;LIT;200;;;22/08/2023
EP2304-0065;19/04/2023;;Theo b? ph?n;V?t t? s? d?ng cho xe nÉng;0700100240000000;AXIT LO?NG CH?M B?NH;LIT;100;1;LIT;100;;;22/04/2023
EP2406-0015;06/06/2024;Nguy?n Th? H??ng;Theo b? ph?n;Mua axit lo?ng chÉm bçnh xe nÉng;0700100240000000;AXIT LO?NG CH?M B?NH;LIT;210;1;LIT;210;;;10/06/2024
EP2312-0085;27/12/2023;Nguy?n D?ng Trung;Theo b? ph?n;SO2312-0050 - UNIPACK;NEP13MM.DEN;N?p kh? 1.3cm, manh PP tr†ng m?t m?t mÖu ?en, TL: 1.3g/m;M;54000;0,0013;KG;70,2;SO2312-0050 - UNIPACK;;02/01/2024
EP2304-0052;14/04/2023;;Theo b? ph?n;Mua tu?i LDPE cho ??n ha?ng bao ra?c SO2303-0042 va? cont sau;BAO-030040G22LDPE.ACS;T£i LDPE trong in 5 mÖu marka: ACOSAC quy c†ch: 30cm x 40cm, TL: 22g/t£i.;CAI;13;0,022;KG;286;;;25/04/2023
EP2304-0052;14/04/2023;;Theo b? ph?n;Mua tu?i LDPE cho ??n ha?ng bao ra?c SO2303-0042 va? cont sau;BAO-030040G22LDPE.ACS;T£i LDPE trong in 5 mÖu marka: ACOSAC quy c†ch: 30cm x 40cm, TL: 22g/t£i.;CAI;10;0,022;KG;220;;;10/05/2023
EP2406-0004;05/06/2024;Nguy?n D?ng Trung;Theo b? ph?n;DW PO1;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;300000;0,013;KG;3900;DW PO1;;08/06/2024
EP2406-0047;14/06/2024;Nguy?n D?ng Trung;Theo b? ph?n;"HAT-MVCA-2014
HAT-EMPP-MF
HAT-EMH77197
HAT-EMPE0033K
HAT-TACKS-JB
HAT-UV881C
BAO-048075G13HDPE.DW
BAO-048075G19LDPE.DW";BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;251000;0,013;KG;3263;DW PO2;;01/07/2024
EP2406-0048;14/06/2024;Nguy?n D?ng Trung;Theo b? ph?n;DW PO3;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;263000;0,013;KG;3419;DW PO3;;12/07/2024
EP2407-0027;08/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"?ng gi?y c? dÖi tràn 135cm
T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i
T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i";BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;261000;0,013;KG;3393;DW PO4;;24/07/2024
EP2407-0027;08/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"?ng gi?y c? dÖi tràn 135cm
T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i
T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i";BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;322000;0,013;KG;4186;DW PO6;;12/08/2024
EP2407-0027;08/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"?ng gi?y c? dÖi tràn 135cm
T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i
T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i";BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;168500;0,013;KG;2190,5;DW PO5;;01/08/2024
EP2405-0065;21/05/2024;Nguy?n D?ng Trung;Theo b? ph?n;T£i l?ng KCP + Dongwon;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;511000;0,013;KG;6643;SO2405-0027;;14/06/2024
EP2308-0080;23/08/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO8 - PO9 - PO10 - PO11 - PO12;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;600000;0,013;KG;7800;DONGWON - PO10 - PO11 - PO12;;28/08/2023
EP2308-0023;04/08/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO8;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;329000;0,013;KG;4277;DONGWON - PO8;;10/08/2023
EP2308-0027;09/08/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO9;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;294000;0,013;KG;3822;DONGWON - PO9;;16/08/2023
EP2307-0093;31/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;Dongwon - PO7;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;233000;0,013;KG;3029;Dongwon - PO7;;14/08/2023
EP2310-0032;09/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;SO2307-0075 - DONGWON;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;702000;0,013;KG;9126;SO2307-0075 - DONGWON;;16/10/2023
EP2309-0022;06/09/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO10 - PO11 - PO12;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;280000;0,013;KG;3640;DONGWON - PO10 - PO11 - PO12;;15/09/2023
EP2305-0073;17/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;T£i l?ng Dongwon - PO1;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;257000;0,013;KG;3341;;;02/06/2023
EP2305-0101;24/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"MP2305-0039 - SGI - Jumbo
MP2305-0061 - SGI - Jumbo
SO2305-0027 - Dongwon
SO2304-0030 - Harvest PADI III";BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;100000;0,013;KG;1300;SO2305-0027;;09/06/2023
EP2306-0037;10/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0017 - Dongwon PO2
SO2306-0015 - Dongwon PO2
SO2304-0030 (B? sung hao h?t 0.5%)";BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;307000;0,013;KG;3991;SO2306-0017;;23/06/2023
EP2306-0037;10/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0017 - Dongwon PO2
SO2306-0015 - Dongwon PO2
SO2304-0030 (B? sung hao h?t 0.5%)";BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;18000;0,019;KG;342;SO2306-0015;;23/06/2023
EP2307-0070;24/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO6;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;259000;0,013;KG;3367;DONGWON - PO6;;31/07/2023
EP2307-0044;13/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO5;BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;267000;0,013;KG;3471;DONGWON - PO5;;21/07/2023
EP2306-0062;19/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"Dongwon - PO3
Dongwon - PO4
Dongwon - PO3
Dongwon - PO4";BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;175000;0,013;KG;2275;Dongwon - PO3;;30/06/2023
EP2306-0062;19/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"Dongwon - PO3
Dongwon - PO4
Dongwon - PO3
Dongwon - PO4";BAO-048075G13HDPE.DW;T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i(+/-1.0). [Ghi ch£: c?t ngu?i dÖi 76.5cm(+/-1), hÖn ?†y 2 ???ng].;CAI;228000;0,013;KG;2964;Dongwon - PO4;;10/07/2023
EP2306-0062;19/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"Dongwon - PO3
Dongwon - PO4
Dongwon - PO3
Dongwon - PO4";BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;76500;0,019;KG;1453,5;Dongwon - PO3;;30/06/2023
EP2306-0062;19/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"Dongwon - PO3
Dongwon - PO4
Dongwon - PO3
Dongwon - PO4";BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;131000;0,013;KG;1703;Dongwon - PO4;;10/07/2023
EP2307-0044;13/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO5;BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;60000;0,019;KG;1140;DONGWON - PO5;;21/07/2023
EP2307-0070;24/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO6;BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;66500;0,019;KG;1263,5;DONGWON - PO6;;31/07/2023
EP2305-0073;17/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;T£i l?ng Dongwon - PO1;BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;75000;0,019;KG;1425;;;02/06/2023
EP2309-0039;11/09/2023;Nguy?n D?ng Trung;Theo b? ph?n;"DONGWON - PO8 - PO9 - PO10 - PO11 - PO12
L?u ?: Nh?p 7000 c†i t£i PE (dung sai 3.5%)
B? sung cho phi?u nh?p LN09/23-031";BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;7000;0,019;KG;133;;;15/09/2023
EP2307-0093;31/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;Dongwon - PO7;BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;86000;0,019;KG;1634;Dongwon - PO7;;14/08/2023
EP2308-0027;09/08/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO9;BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;70000;0,019;KG;1330;DONGWON - PO9;;16/08/2023
EP2308-0023;04/08/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO8;BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;22000;0,019;KG;418;DONGWON - PO8;;10/08/2023
EP2308-0080;23/08/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON - PO8 - PO9 - PO10 - PO11 - PO12;BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;200000;0,019;KG;3800;DONGWON - PO10 - PO11 - PO12;;28/08/2023
EP2405-0065;21/05/2024;Nguy?n D?ng Trung;Theo b? ph?n;T£i l?ng KCP + Dongwon;BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;2206000;0,019;KG;41914;SO2405-0027;;14/06/2024
EP2407-0027;08/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"?ng gi?y c? dÖi tràn 135cm
T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i
T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i";BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;157000;0,019;KG;2983;DW PO5;;01/08/2024
EP2407-0027;08/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"?ng gi?y c? dÖi tràn 135cm
T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i
T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i";BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;13000;0,019;KG;247;DW PO6;;12/08/2024
EP2407-0027;08/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"?ng gi?y c? dÖi tràn 135cm
T£i HDPE, K48.0x75.0LL(+1.0/-0), TL: 13.0g/c†i
T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i";BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;49500;0,019;KG;940,5;DW PO4;;24/07/2024
EP2406-0048;14/06/2024;Nguy?n D?ng Trung;Theo b? ph?n;DW PO3;BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;23000;0,019;KG;437;DW PO3;;12/07/2024
EP2406-0047;14/06/2024;Nguy?n D?ng Trung;Theo b? ph?n;"HAT-MVCA-2014
HAT-EMPP-MF
HAT-EMH77197
HAT-EMPE0033K
HAT-TACKS-JB
HAT-UV881C
BAO-048075G13HDPE.DW
BAO-048075G19LDPE.DW";BAO-048075G19LDPE.DW;T£i LDPE, K48.0x75.0LL(+1.0/-0), TL: 19.0g/c†i(+/-1.0).;CAI;70000;0,019;KG;1330;DW PO2;;01/07/2024
