Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-038,0905500560000000,Sắt la kẽm 18x1.4mmx3000mm,CAY,100,CAY,100,,VND,25000,0,2500000,NV041,Võ Công Vũ
PO08/24-032,Nguyễn Thị Đào,45516.288888888885,PR24/08-036,0905600040000000,SÊN ĐƠN 40,CAI,10,CAI,10,,VND,310000,0,3100000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-032,Nguyễn Thị Đào,45516.288888888885,PR24/08-036,0916100070000000,Nước sơn vàng vẽ layout,Hộp,2,Hộp,2,,VND,385000,0,770000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-032,Nguyễn Thị Đào,45516.288888888885,PR24/08-036,0907300020000000,Nỉ lông cừu dày 1000 x 1000mm x 10mm ( theo mẫu),TAM,4,TAM,4,,VND,1100000,0,4400000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-032,Nguyễn Thị Đào,45516.288888888885,PR24/08-036,0906500120000000,Nút Nhựa Chong Chóng,Cái,10000,Cái,10000,,VND,700,0,7000000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-032,Nguyễn Thị Đào,45516.288888888885,PR24/08-037,0908200070000000,Xe nâng tay 3 tấn mitsubishi BF30,CAI,1,CAI,1,,VND,5000000,0,5000000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-033,Nguyễn Thị Đào,45517.120138888888,PR24/08-040,MDM-DMC,Dung môi Chỉnh,KG,48,KG,48,,VND,39000,187200,1872000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO08/24-033,Nguyễn Thị Đào,45517.120138888888,PR24/08-040,MDM-FLREFBLUEGT,Xanh Dương Reflex Blue C gián tiếp,KG,250,KG,250,,VND,80000,2000000,20000000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO08/24-033,Nguyễn Thị Đào,45517.120138888888,PR24/08-040,MDM-DMO001,Dung môi Chậm khô Trực Tiếp,KG,24,KG,24,,VND,74000,177600,1776000,NCC010016,CÔNG TY CỔ PHẨN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH - CHI NHANH 1 (LONG AN)
PO08/24-034,Nguyễn Thị Đào,45517.194444444445,PR24/08-042,HAT-CAM-33102C,Hạt màu cam EMH33102C,Kg,150,Kg,150,,VND,88000,1320000,13200000,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO08/24-034,Nguyễn Thị Đào,45517.194444444445,PR24/08-042,HAT-UV881C,Hạt UV 881C (Châu Âu),KG,1000,KG,1000,,VND,73000,0,73000000,NCC010014,CÔNG TY CỔ PHẦN NHỰA CHÂU ÂU PHƯƠNG NAM
PO08/24-035,Nguyễn Thị Đào,45517.20208333333,PR24/08-042,5200110060020000,"Pallet gỗ xuất khẩu hàng hóa; kích thước = 90.0cm (W) x 120.0cm (L) x 15.0cm (H); pallet 4 chiều; tải trọng nâng 1000kg, tải trọng tĩnh 2000kg; hun trùng tiêu chuẩn ISPM15; độ ẩm <20%, gỗ mới.",CAI,40,CAI,40,,VND,140000,448000,5600000,NCC010304,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI PALLET QUỐC TOẢN
PO08/24-036,Nguyễn Thị Đào,45517.204861111109,PR24/08-041,0905700200000000,PHỚT 25x40,CAI,20,CAI,20,,VND,37000,0,740000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-036,Nguyễn Thị Đào,45517.204861111109,PR24/08-041,0926400010000000,ĐÁ CẮT 100,Cái,100,Cái,100,,VND,7000,0,700000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-036,Nguyễn Thị Đào,45517.204861111109,PR24/08-041,0926400040000000,ĐÁ MÀI 100,Cái,100,Cái,100,,VND,12000,0,1200000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-036,Nguyễn Thị Đào,45517.204861111109,PR24/08-041,0927600103000000,Bánh răng vỏ thau Z=100 - phi 104 x 16mm -cốt phi 45 x 112mm ( gia công theo bản vẻ ),CAI,10,CAI,10,,VND,1900000,0,19000000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-036,Nguyễn Thị Đào,45517.204861111109,PR24/08-043,0903100530000000,Thanh Sắt 40x80x800mm ( GC theo bản vẽ),CAI,28,CAI,28,,VND,1480000,0,41440000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-036,Nguyễn Thị Đào,45517.204861111109,PR24/08-046,0902209070000000,Biến tần Mitsubishi FR-D720S-025-EC.,CAI,2,CAI,2,,VND,3000000,0,6000000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-037,Nguyễn Thị Đào,45517.206249999996,PR24/08-044,0902208890000000,MCB - 2P-6A - 10KA Schneider,CAI,2,CAI,2,,VND,335000,0,670000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-037,Nguyễn Thị Đào,45517.206249999996,PR24/08-044,0902209540000000,Ổ cắm đế nổi loại 3 ổ SINO,CAI,10,CAI,10,,VND,58000,0,580000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-037,Nguyễn Thị Đào,45517.206249999996,PR24/08-044,0902209358000000,Phích cắm cái ĐQEPF2PN điện quang,CAI,10,CAI,10,,VND,15000,0,150000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
