Mã số,Mặt hàng,Đơn vị tính 1,SL Đầu kỳ 1,Giá trị đầu kỳ 1,SL Nhập 1,Giá trị Nhập 1,SL Xuất 1,Giá trị xuất 1,SL Tồn 1,Giá trị tồn 1,Đơn vị tính 2,SL Đầu kỳ 2,SL Nhập 2,SL Xuất 2,SL Tồn 2
0907101030000000,Motor đảo mực 5IK90GU-S3 (motor for Anelox roller) Mã : CS2002 - E - 38.,CAI,2,5795720,0,0,0,0,2,5795720,CAI,2,0,0,2
0907101070000000,Motor hộp số lô nước RX6.1 ( INTAKE DRIVE RX 6.1  Current and valid part no. is a retrofit to a Lenze drive  BWLU-12016 NACHRUESTUNG LENZE MOTOR EINZUG FUER RX 6.1 ),CAI,2,26791900,0,0,0,0,2,26791900,CAI,2,0,0,2
0907101080000000,Motor hộp số lô thu RX6.1 ( WINDER MOTOR RX 6.1 Current and valid part no. is a retrofit to a Nord motor drive  BWWA-12006 NACHRUESTUNG NORD MOTOR WICKLER FUER RX 6.1 ),CAI,2,48120,0,0,0,0,2,48120,CAI,2,0,0,2
0907900140000000,chốt la vét 5x5 x10mm,CAI,50,50000,0,0,50,50000,0,0,CAI,50,0,50,0
0907900150000000,chốt la vét 5x5 x30mm,CAI,50,75000,0,0,50,75000,0,0,CAI,50,0,50,0
0908100011000000,xi măng sao mai,BAO,50,4718966,350,30450000,350,30818966,50,4350000,BAO,50,350,350,50
0908300380000000,cầu chì ống 6x30A,CAI,30,60000,0,0,0,0,30,60000,CAI,30,0,0,30
0908300390000000,Hộp Cầu chì chuyên dùng cho xe nâng - xe máy. có cầu chì 20A.,CAI,2,140000,0,0,0,0,2,140000,CAI,2,0,0,2
0908500460000000,Lô cao su phi 175x1050mm.,CAY,-1,0,1,0,1,0,-1,0,CAY,-1,1,1,-1
0908500640000000,Lô cao su máy tráng hấp - Lô đáy- CĐ- phi 183x750mm ( theo bản vẽ ),CAI,-3,0,3,0,0,0,0,0,CAI,-2,3,0,1
0908500690000000,Lô cao su kéo vải phi 115x800mm  (gia công theo bản vẽ),TRUC,0,0,2,10900000,2,10900000,0,0,TRUC,0,2,2,0
0908500760000000,Lô cao su phi 175x1500mm -  ( GC - theo bản vẽ),TRUC,-1,0,3,0,4,0,-2,0,TRUC,-1,3,4,-2
0908600041000000,Thiết bị đo ánh sáng - HT82,BO,1,510000,0,0,0,0,1,510000,BO,1,0,0,1
0908600630000000,Bộ pad áo chỉnh buly  ( IDLER BRACKET ASSY - REF : LS20106001),CAI,7,3323397,0,0,0,0,7,3323397,CAI,7,0,0,7
0908600710000000,Bộ càng thoi STARLINGER RX8.0 (ROLLER INSERTION FINGER) - ( MÃ : DWLW - 10009 ),CAI,10,25288200,0,0,0,0,10,25288200,CAI,10,0,0,10
0908600730000000,USB WiFi Tenda U9,CAI,8,2036360,0,0,8,2036360,0,0,CAI,8,0,8,0
0908600770000000,Bộ nguồn power. supppy ps3100 - input AC 2-3Pha 400-500V. output DC 24V-10A,CAI,2,22361640,0,0,0,0,2,22361640,CAI,2,0,0,2
0908600780000000,Bộ nguồn power supply ps3050- input AC 2-3pha 400-500V. Output DC24V-5A,CAI,2,14889140,0,0,0,0,2,14889140,CAI,2,0,0,2
0908600790000000,"Rơ le an toàn pilz 750101/750101,PNOZS1, 24VDC 2n/o",CAI,1,1808307,2,4394998,2,178,1,6203127,CAI,1,2,2,1
0908600930000000,Bánh răng nhựa máy dệt DS ( theo mẫu ),CAI,30,900000,0,0,0,0,30,900000,CAI,30,0,0,30
0908700230000000,Xi lanh trượt  FESTO-DGC-K-25-880-PPV-A-GK (Theo mẫu),CAI,1,9680975,0,0,0,0,1,9680975,CAI,1,0,0,1
0908700250000000,Bình ắc quy Khô 3-FM-4.0 ( 6V- 4.0Ah-20Hr),CAI,1,130000,0,0,0,0,1,130000,CAI,1,0,0,1
0908700290000000,Dung dịch tẩy sơn HUDSON 350cc,CHAI,5,190000,0,0,0,0,5,190000,CHAI,5,0,0,5
0908700330000000,Bình ắc quy APOLLO NP 1.3-6 (6V-1.3Ah),CAI,1,180000,0,0,0,0,1,180000,CAI,1,0,0,1
0908900044000000,val nước 21 (BÌNH MINH),CAI,2,50000,0,0,0,0,2,50000,CAI,2,0,0,2
0908900045000000,Bộ nắp đậy chậu rữa tay lavabo,CAI,4,236000,0,0,0,0,4,236000,CAI,4,0,0,4
0908900047000000,Khóa cửa đẩy 2 chiều,BO,1,8492500,0,0,0,0,1,8492500,BO,1,0,0,1
0908900048000000,Bộ lavabo rửa tay,CAI,9,4230000,0,0,0,0,9,4230000,CAI,9,0,0,9
0908900049000000,Khóa cửa 8532 Ý,BO,1,7110000,0,0,0,0,1,7110000,BO,1,0,0,1
0909000070000000,V  toàn cầu,CAI,33,660000,0,0,0,0,33,660000,CAI,33,0,0,33
0909000080000000,U Toàn cầu,CAY,7,245000,0,0,0,0,7,245000,CAY,7,0,0,7
0909500200000000,Lưới đan INOX 304 chống côn trùng- khổ 1000mm,M,0,0,1200,66259980,600,33129990,600,33129990,M,0,1200,600,600
0909500210000000,Lưới chống nứt,CUON,0,0,6,300000,6,300000,0,0,CUON,0,6,6,0
0910200260000000,T thau răng trong phi 13,CAI,4,56000,0,0,0,0,4,56000,CAI,4,0,0,4
0910200270000000,Ty răng phi 19X1000mm,CAY,4,220000,0,0,0,0,4,220000,CAY,4,0,0,4
0910900072000000,Lăn sơn 15 phân,CAI,0,0,4,80000,4,80000,0,0,CAI,0,4,4,0
0911100300000000,Tấm la phong vĩnh tường loại 1,TAM,11,1650000,0,0,11,1650000,0,0,TAM,11,0,11,0
0911200204000000,Ống môi trường vận chuyển vi rút,ONG,49,686000,0,0,0,0,49,686000,ONG,49,0,0,49
0912300081000000,Súng bắn Lyver,CAI,1,130000,0,0,0,0,1,130000,CAI,1,0,0,1
0912300082000000,Lyver 4 ly,BICH,2,130000,0,0,0,0,2,130000,BICH,2,0,0,2
0912500011000000,"Ron cao su EPDM dán khung cửa ( gioãng cách âm chống ồn,chống bụi)( ron chữ I)",M,200,2500000,0,0,0,0,200,2500000,M,200,0,0,200
0912500012000000,Ron cao su,CAI,131,393000,0,0,0,0,131,393000,CAI,131,0,0,131
