Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Tên NCC,Mã NCC
PO10/24-053,Nguyễn Thị Đào,10/16/2024,PR24/10-055,0902203000000000,Biến tần misubishi FR-D740-1.5KW,Cái,2,Cái,2,,VND,4900000,980000,9800000,CÔNG TY TNHH KỸ THUẬT ĐIỆN QNTC,NCC010102
PO11/24-021,Nguyễn Thị Đào,11/6/2024,PR24/11-019,0902209070000000,Biến tần Mitsubishi FR-D720S-0.4-EC.,CAI,2,CAI,2,,VND,3100000,620000,6200000,CÔNG TY TNHH KỸ THUẬT ĐIỆN QNTC,NCC010102
PO11/24-022,Nguyễn Thị Đào,11/6/2024,PR24/11-021,0902203370000000,Biến trở 500K ohm 2W (RV24YN 20S BS04),CAI,10,CAI,10,,VND,1,0,10,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-017,Nguyễn Thị Đào,10/9/2024,PR24/10-019,0908700430000000,Bình ắc quy KENTOM - KT5-6-6V5Ah.,CAI,2,CAI,2,,VND,130000,0,260000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-022,Nguyễn Thị Đào,11/6/2024,PR24/11-021,0906802010000000,Bình bơm dầu tự động MSP-001717,CAI,1,CAI,1,,VND,1,0,1,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-054,Nguyễn Thị Đào,11/16/2024,PR24/11-056,0908700080000000,bình oxy,Bình,1,Bình,1,,VND,1,0,1,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-032,Nguyễn Thị Đào,10/11/2024,PR24/10-033,0908700080000000,bình oxy,Bình,2,Bình,2,,VND,150000,0,300000,Võ Công Vũ,NV041
PO11/24-054,Nguyễn Thị Đào,11/16/2024,PR24/11-060,5300101880000000,Bình xịt thơm phòng SUMO 400ml.,BINH,2,BINH,2,,VND,1,0,2,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-026,Nguyễn Thị Đào,11/13/2024,PR24/11-032,5200103880000000,Black Label,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO10/24-084,Nguyễn Thị Đào,10/25/2024,PR24/10-084,5200104150000000,Blue Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,CÔNG TY TNHH CHÍNH KIỆT,NCC010204
PO10/24-054,Thái Nguyễn Minh Quyết,10/16/2024,PR24/10-056,0908601340000000,Bộ càng bù thoi Hengly (Tension bar SBY-850X6S-02A-1 & Slow bar SBY-850X6S-02A-2 & Front tension bar seat SBY-850X6S-02A.3-4 & Back tension bar seat SBY-850X ),BO,90,BO,90,,VND,2.53,0,228,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-010,Nguyễn Thị Đào,11/4/2024,PR24/11-012,0912800151000000,Bộ cờ 7 màu,CAI,4,CAI,4,,VND,80000,0,320000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-017,Nguyễn Thị Đào,10/9/2024,PR24/10-019,0902201040000000,Bộ điều khiển chu kỳ nhớt QNTC (màn hình+PLC+lập trình),BO,10,BO,10,,VND,1200000,0,12000000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-072,Nguyễn Thị Đào,10/21/2024,PR24/10-072,0902700890000000,Bộ diều khiển đảo chiều động cơ điện DC12 - 220V/380V bằng Memote ( Model: ZYC-V1.0ZE901 ),Bộ,3,Bộ,3,,VND,590000,0,1770000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-022,Nguyễn Thị Đào,11/6/2024,PR24/11-021,0902200102000000,Bộ điều khiển nguồn Hanyoung TPR-2G50H,CAI,2,CAI,2,,VND,1,0,2,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-092,Nguyễn Thị Đào,10/28/2024,PR24/10-092,0916000020000000,Bộ khớp nối trục có cao su giảm chấn tải momen lớn. 1 đầu lỗ cốt 32mm - 1 đầu lỗ cốt 38mm - then 10x5mm,Bộ,2,Bộ,2,,VND,480000,0,960000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-072,Nguyễn Thị Đào,10/21/2024,PR24/10-072,0908601360000000,Bộ nguồn Meanwell EDR-120-24 (120W 24V 5A).,CAI,3,CAI,3,,VND,490000,0,1470000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
