Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO03/24-018,Nguyễn Thị Đào,45357.184027777774,PR24/03-017,0700100180000000,Dầu FUSHENG thùng 18 lít,THUNG,2,THUNG,2,,VND,4880000,976000,9760000,NCC010074,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ ĐẠI LỢI
PO03/24-081,Nguyễn Thị Đào,45379.1,PR24/03-077,0700100240000000,AXIT LOÃNG CHÂM BÌNH,LIT,210,LIT,210,,VND,7000,0,1470000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO03/24-083,Nguyễn Thị Đào,45379.110416666663,PR24/03-081,HDPE051084G019TT,"Túi HDPE, màu trắng đục, 51(+1/-0.5)x84LL(+1/-0.5), dày 20mi, cắt dài 85.5cm + hàn cách đáy 1.5cm(+/-0.5), TL: 19g/cái(+/-1).",CAI,305000,KG,5795,,VND,657,16030800,200385000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO01/24-061,Thái Minh Quyết,45313.116666666661,,INB485079TDMFM.LMBIBL,"Bao PP-In, trắng đục, K48.5(+1/-0.5)x79LL(+/-1), TL: 78.44gr/cái(+/-2.4), MK: BICYCLE BLUE. [In có tracking] [Tép 100 cái]",CAI,35000,KG,2745.4,,VND,250,700000,8750000,KH010018,CÔNG TY TNHH LUCKY STAR PLAST
PO01/24-061,Thái Minh Quyết,45313.116666666661,,INB485079TDMFM.LMBIGR,"Bao PP-In, trắng đục, K48.5(+1/-0.5)x79LL(+/-1), TL: 78.44gr/cái(+/-2.4), MK: BICYCLE GREEN. [In có tracking] [Tép 100 cái]",CAI,30000,KG,2353.2,,VND,250,600000,7500000,KH010018,CÔNG TY TNHH LUCKY STAR PLAST
PO02/24-011,Nguyễn Thị Đào,45325.377777777772,PR24/02-016,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,KG,5000,,VND,1725,13800000,172500000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO01/24-103,Nguyễn Thị Đào,45320.381249999999,PR24/01-098,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,KG,5000,,VND,1725,13800000,172500000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO03/24-083,Nguyễn Thị Đào,45379.110416666663,PR24/03-081,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,200000,KG,10000,,VND,1725,27600000,345000000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO03/24-051,Nguyễn Thị Đào,45370.106944444444,PR24/03-042,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,109000,KG,5450,,VND,1725,15042000,188025000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO03/24-024,Nguyễn Thị Đào,45358.291666666664,PR24/03-021,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,KG,5000,,VND,1725,13800000,172500000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO03/24-007,Nguyễn Thị Đào,45355.384027777778,PR24/03-005,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,KG,5000,,VND,1725,13800000,172500000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO01/24-103,Nguyễn Thị Đào,45320.381249999999,PR24/01-094,MANH-195340G750LDPE.THA,"Manh LDPE trong, K195.0x340PB(+1.0/-0), TL: 750g/cái +/- 3%(không có đường hàn đáy, dạng ống), cắt thẳng 340cm -2/+5cm",CAI,1200,KG,900,,VND,27750,2664000,33300000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO02/24-017,Nguyễn Thị Đào,45342.132638888885,PR24/02-022,MANH-195340G750LDPE.THA,"Manh LDPE trong, K195.0x340PB(+1.0/-0), TL: 750g/cái +/- 3%(không có đường hàn đáy, dạng ống), cắt thẳng 340cm -2/+5cm",CAI,1200,KG,900,,VND,28705,2755680,34446000,KH010005,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIÊN THẠNH
