Mã số,Mặt hàng,Đơn vị tính 1,SL Đầu kỳ 1,Giá trị đầu kỳ 1,SL Nhập 1,Giá trị Nhập 1,SL Xuất 1,Giá trị xuất 1,SL Tồn 1,Giá trị tồn 1,Đơn vị tính 2,SL Đầu kỳ 2,SL Nhập 2,SL Xuất 2,SL Tồn 2,Date
MDM-FLREFBLUEGT,Xanh Dương Reflex Blue C gián tiếp,KG,200,16000000,0,0,0,0,200,16000000,KG,200,0,0,200,17/09/2024
MDM-FLXD2763,Xanh Dương 2763 FL,KG,50,3800000,0,0,0,0,50,3800000,KG,50,0,0,50,17/09/2024
MDM-FLXD2763GT,Xanh Dương 2763 FL gián tiếp,KG,100,7601225.69,0,0,0,0,100,7601225.69,KG,100,0,0,100,17/09/2024
MDM-FLXL3415C,Xanh Lá 3415C FL,KG,125,9500001.1,0,0,0,0,125,9500001.1,KG,125,0,0,125,17/09/2024
MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,75,5700031.84,0,0,0,0,75,5700031.84,KG,75,0,0,75,17/09/2024
MDM-FX61,Trắng 61 FL,KG,25,1775000,0,0,0,0,25,1775000,KG,25,0,0,25,17/09/2024
MDM-NAU-4253C-GIANTIEP,Mực nâu 4253C GIÁN TIẾP,KG,16,1184000,0,0,0,0,16,1184000,KG,16,0,0,16,17/09/2024
MDM-RELEXBLUEC,RELEXBLUE C,KG,50,4000005.16,0,0,0,0,50,4000005.16,KG,50,0,0,50,17/09/2024
MDM-XANH-2383C-GIANTIEP,MỰC XANH 2383C GIÁN TIẾP,KG,16,1288000,0,0,0,0,16,1288000,KG,16,0,0,16,17/09/2024
MUC-IN,"TL phụ thuộc vào số mặt in, màu, diện tích phủ.",KG,70,5157275,0,0,0,0,70,5157275,KG,70,0,0,70,17/09/2024
MUC-XL-DT-355,Mực in Gián tiếp màu xanh lá 355,KG,67,5564844.51,0,0,0,0,67,5564844.51,KG,67,0,0,67,17/09/2024
MDM-541,Mực Xanh 541 Gián tiếp,KG,10,840000,0,0,0,0,10,840000,KG,10,0,0,10,17/09/2024
MDM-DMO001,Dung môi Chậm khô Trực Tiếp,KG,24,1776000,0,0,0,0,24,1776000,KG,24,0,0,24,17/09/2024
0090610200000000,Trục nối vòng bi mắt trâu ren ngoài M8.  - SA8T/K,CAI,9,342000,0,0,0,0,9,342000,CAI,9,0,0,9,17/09/2024
00906102070000000,Trục nối vòng bi mắt trâu ren ngoài M6.  - SA6T/K,CAI,20,700000,0,0,0,0,20,700000,CAI,20,0,0,20,17/09/2024
09-02207731000000,Giắc cắm sạc xe nâng hiệu Anderson 175A,BO,5,1750000,0,0,0,0,5,1750000,BO,5,0,0,5,17/09/2024
09-0270100000000,Đồng hồ đo độ dầy,CAI,1,2970000,0,0,0,0,1,2970000,CAI,1,0,0,1,17/09/2024
09-117000500000000,Thảm dính bụi phòng sạch Sticky mat 60 x 90 (cm) màu xanh dương,HOP,1,950000,0,0,0,0,1,950000,HOP,1,0,0,1,17/09/2024
0900100010000000,Áo càng thoi  ( Lever holder ) Mã: NOVA6599712 / 11130557900,CAI,226,50278,0,0,0,0,226,50278,CAI,226,0,0,226,17/09/2024
0900100020000000,áo khoác cho khách tham quan,CAI,5,575000,0,0,0,0,5,575000,CAI,5,0,0,5,17/09/2024
0900100040000000,Áo chỉnh buly (IDLER BRACKET -Ref : LS20106102),CAI,40,1980240,0,0,0,0,40,1980240,CAI,40,0,0,40,17/09/2024
0900400010000000,BẠC ĐỒNG GIAO ĐỘNG 6x12x12 (Nova6 063510),CAI,4216,38820268,0,0,0,0,4216,38820268,CAI,4216,0,0,4216,17/09/2024
0900400020000000,BẠC NHÔM BÁNH XE CAM (Nova 6063507),CAI,1326,14586000,0,0,0,0,1326,14586000,CAI,1326,0,0,1326,17/09/2024
0900400040000000,BẠC NHỰA LÔ NƯỚC,CAI,600,4200000,0,0,0,0,600,4200000,CAI,600,0,0,600,17/09/2024
0900400060000000,Bạc càng bù đầu dù sau RX6.1 Mã: Z3C-05775,CAI,45,14715184,0,0,0,0,45,14715184,CAI,45,0,0,45,17/09/2024
0900400070000000,Bạc cốt kim máy may 2W,CAI,2,1200000,0,0,0,0,2,1200000,CAI,2,0,0,2,17/09/2024
0900400090000000,Bạc móc 063171,CAI,2,1180000,0,0,0,0,2,1180000,CAI,2,0,0,2,17/09/2024
0900400130000000,Bạc thau đỡ lô 56x82mm ( gia công theo bản vẽ),CAI,3,1769091,0,0,0,0,3,1769091,CAI,3,0,0,3,17/09/2024
0900500020000000,BÁT CẦN THẮNG,CAI,63,1890000,0,0,0,0,63,1890000,CAI,63,0,0,63,17/09/2024
0900500030000000,BÁT ĐỠ YẾM THOI LOHIA (Nova6 994607),CAI,164,639600,0,0,0,0,164,639600,CAI,164,0,0,164,17/09/2024
0900500040000000,BÁT LĂN ĐAI DƯỚI LSL6 (LOWER BEARING BLLOCK-S 84mm) mã: LSL6 073818,CAI,230,6141000,0,0,0,0,230,6141000,CAI,230,0,0,230,17/09/2024
0900500050000000,BÁT LĂN ĐAI DƯỚI NOVA,CAI,45,533588,0,0,0,0,45,533588,CAI,45,0,0,45,17/09/2024
0900500060000000,BÁT LĂN ĐAI TRÊN NOVA+ LSL6 mã: LSL6 076105,CAI,94,7097000,0,0,0,0,94,7097000,CAI,94,0,0,94,17/09/2024
